image,type,subtype,concatenated_type,set
100207200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100159700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100204800.png,Andere,-,Andere / -,train
100065800.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,val
100069500.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100099400.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100113200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100032300.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100040000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100039100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100085800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100196700.png,Rost,Strassenrost,Rost / Strassenrost,train
100021400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100176000.png,Rost,Strassenrost,Rost / Strassenrost,train
100192600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100035600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100119800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100123500.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100041200.png,Rost,Strassenrost,Rost / Strassenrost,test
100061200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100198800.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,val
100170100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100144500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100083200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100210400.png,Rost,Strassenrost,Rost / Strassenrost,train
100041700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100155700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100151800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100063900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100131300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100110800.png,Rost,Strassenrost,Rost / Strassenrost,train
100095700.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100145100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,val
100178900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100157600.png,Rost,Strassenrost,Rost / Strassenrost,test
100115800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100168600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100016900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100139100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100051000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100065900.png,Rost,Strassenrost,Rost / Strassenrost,train
100154000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100082500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100077100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100099900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100090100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100172100.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,val
100155900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100150800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100013500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100028600.png,Rost,Strassenrost,Rost / Strassenrost,val
100072100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100091400.png,Rost,Strassenrost,Rost / Strassenrost,train
100004700.png,Rost,Strassenrost,Rost / Strassenrost,train
100199900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100057200.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100188100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100187700.png,Andere,-,Andere / -,train
100075800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100080000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100195600.png,Rost,Strassenrost,Rost / Strassenrost,train
100057100.png,Rost,Strassenrost,Rost / Strassenrost,train
100044900.png,Rost,Strassenrost,Rost / Strassenrost,test
100141500.png,Rost,Strassenrost,Rost / Strassenrost,train
100107200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100170600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100165700.png,Rost,Strassenrost,Rost / Strassenrost,train
100061100.png,Rost,Strassenrost,Rost / Strassenrost,val
100130200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100119500.png,Rost,Strassenrost,Rost / Strassenrost,test
100135900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100112200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100156200.png,Rost,Strassenrost,Rost / Strassenrost,train
100136800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100066600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100046900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100050200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100209400.png,Rost,Strassenrost,Rost / Strassenrost,train
100063000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100164400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100117800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100007300.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100100800.png,Andere,-,Andere / -,train
100095800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100134700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100207100.png,Rost,Strassenrost,Rost / Strassenrost,train
100067300.png,Rost,Strassenrost,Rost / Strassenrost,train
100073000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100161300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100151200.png,Rost,Strassenrost,Rost / Strassenrost,train
100016100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100183500.png,Rost,Strassenrost,Rost / Strassenrost,val
100066200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100059900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100122500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100048500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100177100.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100187300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100188900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100135500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100110900.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100071100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100160700.png,Rost,Strassenrost,Rost / Strassenrost,train
100185700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100204000.png,Rost,Strassenrost,Rost / Strassenrost,train
100008000.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100216800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100196500.png,Rost,Strassenrost,Rost / Strassenrost,val
100084400.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100063600.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100150400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100172700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100180800.png,Rost,Strassenrost,Rost / Strassenrost,train
100123200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100100000.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100168700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100200100.png,Rost,Strassenrost,Rost / Strassenrost,train
100140700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100064500.png,Rost,Strassenrost,Rost / Strassenrost,train
100043000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100037800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100039600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100015500.png,Andere,-,Andere / -,train
100006900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100116000.png,Rost,Strassenrost,Rost / Strassenrost,train
100159200.png,Rost,Strassenrost,Rost / Strassenrost,train
100035800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100037100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100079200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100071500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100087400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100180100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100130300.png,Rost,Strassenrost,Rost / Strassenrost,train
100141000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100053700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100086300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100028100.png,Andere,-,Andere / -,train
100185300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100043400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100090500.png,Rost,Strassenrost,Rost / Strassenrost,train
100025800.png,Rost,Strassenrost,Rost / Strassenrost,train
100089600.png,Rost,Strassenrost,Rost / Strassenrost,train
100080700.png,Rost,Strassenrost,Rost / Strassenrost,train
100168800.png,Rost,Strassenrost,Rost / Strassenrost,train
100016300.png,Rost,Strassenrost,Rost / Strassenrost,train
100094700.png,Rost,Strassenrost,Rost / Strassenrost,train
100135600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100088500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100113000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100096500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100155600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100011500.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100217000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100075300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100109200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100175100.png,Rost,Strassenrost,Rost / Strassenrost,train
100000900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100124900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100117400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100206200.png,Andere,-,Andere / -,train
100170800.png,Rost,Strassenrost,Rost / Strassenrost,train
100167700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100069200.png,Rost,Strassenrost,Rost / Strassenrost,train
100070200.png,Andere,-,Andere / -,train
100098500.png,Rost,Strassenrost,Rost / Strassenrost,train
100011900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100017600.png,Rost,Strassenrost,Rost / Strassenrost,train
100164800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100093600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100078600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100153000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100015800.png,Rost,Strassenrost,Rost / Strassenrost,train
100076700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100161100.png,Rost,Strassenrost,Rost / Strassenrost,train
100030200.png,Rost,Strassenrost,Rost / Strassenrost,train
100196400.png,Rost,Strassenrost,Rost / Strassenrost,train
100014000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100146600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100056300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100140300.png,Rost,Strassenrost,Rost / Strassenrost,val
100085600.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100036800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100056600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100155800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100185200.png,Rost,Strassenrost,Rost / Strassenrost,train
100185100.png,Rost,Strassenrost,Rost / Strassenrost,train
100213100.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100009200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100001800.png,Rost,Strassenrost,Rost / Strassenrost,train
100101900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100120000.png,Rost,Strassenrost,Rost / Strassenrost,train
100105000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100159100.png,Andere,-,Andere / -,test
100205000.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,val
100004800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100141900.png,Rost,Strassenrost,Rost / Strassenrost,train
100120700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100191200.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100186500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100161800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100156300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100187600.png,Rost,Strassenrost,Rost / Strassenrost,train
100045500.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100055800.png,Rost,Strassenrost,Rost / Strassenrost,train
100106800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100103900.png,Andere,-,Andere / -,train
100075300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100208800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100129900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100177800.png,Rost,Strassenrost,Rost / Strassenrost,test
100029900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100006000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100104600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100104400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100110100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100199600.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100016400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100014800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100044000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100046800.png,Rost,Strassenrost,Rost / Strassenrost,train
100075500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100038200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100185000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100018700.png,Rost,Strassenrost,Rost / Strassenrost,train
100176500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100098200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100057400.png,Rost,Strassenrost,Rost / Strassenrost,train
100144800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100148300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100148600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100145500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100117200.png,Rost,Strassenrost,Rost / Strassenrost,train
100187600.png,Rost,Strassenrost,Rost / Strassenrost,train
100030500.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100116800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100177400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100147400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100058200.png,Rost,Strassenrost,Rost / Strassenrost,train
100093700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100012100.png,Rost,Strassenrost,Rost / Strassenrost,train
100036600.png,Rost,Strassenrost,Rost / Strassenrost,train
100138600.png,Rost,Strassenrost,Rost / Strassenrost,train
100080200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100042700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100181600.png,Rost,Strassenrost,Rost / Strassenrost,train
100162700.png,Rost,Strassenrost,Rost / Strassenrost,train
100131500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100044300.png,Rost,Strassenrost,Rost / Strassenrost,val
100006800.png,Rost,Strassenrost,Rost / Strassenrost,train
100034500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100056700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100095000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100211100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100100000.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100004300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100033000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100083800.png,Rost,Strassenrost,Rost / Strassenrost,train
100060100.png,Rost,Strassenrost,Rost / Strassenrost,train
100155000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100213000.png,Rost,Strassenrost,Rost / Strassenrost,train
100115500.png,Rost,Strassenrost,Rost / Strassenrost,train
100091300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100109100.png,Andere,-,Andere / -,train
100086400.png,Andere,-,Andere / -,train
100171400.png,Rost,Strassenrost,Rost / Strassenrost,train
100067400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100100700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100114500.png,Rost,Strassenrost,Rost / Strassenrost,train
100103500.png,Rost,Strassenrost,Rost / Strassenrost,train
100180200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100000700.png,Rost,Strassenrost,Rost / Strassenrost,train
100121200.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100156600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100217700.png,Rost,Strassenrost,Rost / Strassenrost,train
100184100.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100094500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100185900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100136900.png,Rost,Strassenrost,Rost / Strassenrost,train
100063700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100157000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100023500.png,Rost,Strassenrost,Rost / Strassenrost,val
100202400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100017400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100011200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100190400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100217800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100093900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100086600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100058500.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100201500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100196200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100208000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100101000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100023800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100019800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100216000.png,Rost,Strassenrost,Rost / Strassenrost,train
100167200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100047000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100121000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100070700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100214900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100095500.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100217200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100196000.png,Rost,Strassenrost,Rost / Strassenrost,train
100200400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100052600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100124400.png,Rost,Strassenrost,Rost / Strassenrost,train
100061000.png,Andere,-,Andere / -,train
100012800.png,Andere,-,Andere / -,train
100127400.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100002600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100160700.png,Rost,Strassenrost,Rost / Strassenrost,train
100080600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100015700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100012500.png,Rost,Strassenrost,Rost / Strassenrost,train
100080800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100133900.png,Rost,Strassenrost,Rost / Strassenrost,train
100202200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100092900.png,Rost,Strassenrost,Rost / Strassenrost,train
100127800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100022000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100192000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100081200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100093800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100106100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100125900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100107100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100092400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100171600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100030200.png,Rost,Strassenrost,Rost / Strassenrost,train
100203500.png,Rost,Strassenrost,Rost / Strassenrost,val
100173700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100210900.png,Rost,Strassenrost,Rost / Strassenrost,train
100016500.png,Rost,Strassenrost,Rost / Strassenrost,train
100017500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100204200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100156500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100111500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100169700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100082900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100049600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100130700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100150100.png,Rost,Strassenrost,Rost / Strassenrost,train
100150300.png,Andere,-,Andere / -,train
100101400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100208100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100210200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100092700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100053400.png,Andere,-,Andere / -,val
100186200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100149600.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100090600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100167800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100104800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100111200.png,Andere,-,Andere / -,test
100146000.png,Rost,Strassenrost,Rost / Strassenrost,train
100042200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100175800.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100101600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100090400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
